"Order","BinomName","depth_median","t_median","rmax","maxwt_all","log_wt","invtemp","invtemp_scaled","depth_scaled"
"rays","Pteromylaeus_bovinus",75,16.501,0.903413177531286,116000,11.6613454700885,40.0653438995352,-0.0122361597782373,-0.225012205898505
"skates","Amblyraja_radiata",232.5,6.258,0.356450864661437,11400,9.34136863438259,41.534125457554,0.643359180797359,0.0676337266284525
"rays","Aptychotrema_rostrata",110,21.272,0.18123600959083,6492.87964514519,8.77846141624324,39.4160997678307,-0.302028352032878,-0.15997977644807
"skates","Bathyraja_aleutica",808.5,3.175,0.273341887193581,23100,10.0475878965099,41.9975280045029,0.850200388008797,1.13788170844133
"skates","Bathyraja_brachyurops",316,5.394,0.46076343442509,16870.337409233,9.73331217588731,41.6629578301606,0.700863921876824,0.222782522603062
"skates","Bathyraja_maculata",633,3.4425,0.179479612128162,8500,9.04782144247841,41.9569110725861,0.832070890693309,0.811790526482717
"skates","Bathyraja_minispinosa",785,3.121,0.184627134810004,4612.31051662612,8.4364842070987,42.0057368520194,0.853864433321708,1.09421707723889
"skates","Bathyraja_parmifera",928.5,2.973,0.345675904324191,18200,9.80917687306489,42.0282516336714,0.863913978037562,1.36085003798568
"skates","Rhinoraja_taranetzi",540,3.592,0.404960984970944,2682.74895096531,7.89459727577755,41.9342453470896,0.821953971710264,0.638990071085846
"skates","Bathyraja_trachura",1495.5,2.2545,0.386204420514031,5000,8.51719319141624,42.1378987120554,0.912855301751623,2.41437539508272
"rays","Dasyatis_lata",100.5,22.945,0.123772597286427,290000,12.5776362019627,39.1933903843167,-0.401435396829372,-0.177631435870331
"skates","Beringraja_binoculata",56.5,6.403,0.32807568181794,91000,11.418614785499,41.5125823219363,0.63374333339291,-0.259386490036592
"rays","Dasyatis_pastinaca",27.5,17.502,0.24551122470441,2595.22322005943,7.86142781119127,39.9273596116464,-0.0738258874805057,-0.31327050300981
"skates","Dipturus_batis",150,13.596,0.345068186472409,97070,11.4831876467063,40.4712425834859,0.168938014482789,-0.0856569999332873
"skates","Dipturus_laevis",75,10.178,0.376412132556733,18000,9.7981270368783,40.9594777990324,0.386863362652967,-0.225012205898505
"rays","Glaucostegus_cemiculus",54.5,17.2565,0.471128340282296,49900,10.8177762817396,39.9611128740034,-0.058760010999678,-0.263102628862332
"rays","Gymnura_natalensis",37.5,22.507,0.297873060102902,82600,11.3217649595091,39.2514532916327,-0.375518832661726,-0.294689808881114
"rays","Dasyatis_americana",2,23.064,0.335580842964582,135630,11.8176858689568,39.1776449656136,-0.408463414767672,-0.360651273037984
"rays","Dasyatis_dipterura",75,16.9985,0.144352391887315,14487.088691411,9.58101309666076,39.996646289208,-0.0428995576084312,-0.225012205898505
"skates","Leucoraja_erinacea",462,5.828,0.32263816110645,1444.84032511607,7.275754092791,41.5981436738534,0.671933916154466,0.49406065688202
"skates","Leucoraja_naevus",135,13.878,0.696850658664777,3544.93937811566,8.17327633814742,40.4314802940628,0.15118998957459,-0.113528041126331
"skates","Leucoraja_ocellata",363.5,4.658,0.418558409214346,12628.5417723886,9.44371475122739,41.7733359940832,0.750131567956563,0.311040819714367
"rays","Manta_birostris",500,8.6275,0.0232043478347033,3e+06,14.9141228466324,41.1848601319987,0.487463486976448,0.564667294571063
"rays","Mobula_mobular",350,12.767,0.0843895076015534,1500000,14.2209756660724,40.5885866382351,0.221314908186131,0.285956882640627
"rays","Myliobatis_californicus",54,13.987,0.381872969808774,82100,11.3156932954405,40.4161321106101,0.14433927885934,-0.264031663568766
"rays","Narcine_brasiliensis",33,21.2555,0.304833270997627,650,6.47697236288968,39.418308849,-0.301042321595883,-0.303051121239027
"rays","Narcine_entemedor",50,20.099,0.337860903050824,4447.45483252119,8.40008726378773,39.5737647045489,-0.231654103854004,-0.271463941220245
"rays","Neotrygon_kuhlii",27.5,25.934,0.153100715057647,3145.37758160102,8.05368921967096,38.8016976028282,-0.576268721144368,-0.31327050300981
